DateTime,Ram(MB),VirtualResource(MB),CPU(%),Memory(%),Runtime,ProcessName,VehicleSpeed
2020-04-14 18:49:41.291299,544956,1212704,0.0,2.2,0:06.48,slam_gmapping,0.0
2020-04-14 18:49:41.493046,544956,1212704,0.0,2.2,0:06.49,slam_gmapping,0.0
2020-04-14 18:49:41.649053,544956,1212704,0.0,2.2,0:06.49,slam_gmapping,0.0
2020-04-14 18:49:41.805237,544956,1212704,6.7,2.2,0:06.50,slam_gmapping,0.0
2020-04-14 18:49:41.962122,544956,1212704,0.0,2.2,0:06.50,slam_gmapping,0.0
2020-04-14 18:49:42.120019,544956,1212704,6.7,2.2,0:06.51,slam_gmapping,0.0
2020-04-14 18:49:42.277049,544956,1212704,0.0,2.2,0:06.51,slam_gmapping,0.0
2020-04-14 18:49:42.434595,544956,1212704,0.0,2.2,0:06.51,slam_gmapping,0.0
2020-04-14 18:49:42.590608,544956,1212704,6.7,2.2,0:06.52,slam_gmapping,0.0
2020-04-14 18:49:42.747332,544956,1212704,0.0,2.2,0:06.52,slam_gmapping,0.0
2020-04-14 18:49:42.904633,544956,1212704,0.0,2.2,0:06.52,slam_gmapping,0.0
2020-04-14 18:49:43.061552,544956,1212704,6.7,2.2,0:06.53,slam_gmapping,0.0
2020-04-14 18:49:43.216789,544956,1212704,0.0,2.2,0:06.53,slam_gmapping,0.0
2020-04-14 18:49:43.371853,544956,1212704,6.7,2.2,0:06.54,slam_gmapping,0.0
2020-04-14 18:49:43.527640,544956,1212704,0.0,2.2,0:06.54,slam_gmapping,0.0
2020-04-14 18:49:43.684708,544956,1212704,6.7,2.2,0:06.55,slam_gmapping,0.0
2020-04-14 18:49:43.841081,544956,1212704,0.0,2.2,0:06.55,slam_gmapping,0.0
2020-04-14 18:49:43.996978,544956,1212704,0.0,2.2,0:06.55,slam_gmapping,0.0
2020-04-14 18:49:44.153089,544956,1212704,0.0,2.2,0:06.55,slam_gmapping,0.0
2020-04-14 18:49:44.312706,544956,1212704,6.7,2.2,0:06.56,slam_gmapping,0.0
2020-04-14 18:49:44.491745,544956,1212704,6.7,2.2,0:06.57,slam_gmapping,0.0
2020-04-14 18:49:44.665476,544956,1212704,6.7,2.2,0:06.59,slam_gmapping,0.0
2020-04-14 18:49:44.854220,544956,1212704,0.0,2.2,0:06.59,slam_gmapping,0.0
2020-04-14 18:49:45.024820,544956,1212704,12.5,2.2,0:06.61,slam_gmapping,0.0
2020-04-14 18:49:45.200318,544956,1212704,6.7,2.2,0:06.62,slam_gmapping,0.0
2020-04-14 18:49:45.372978,544956,1212704,0.0,2.2,0:06.62,slam_gmapping,0.0
2020-04-14 18:49:45.547518,544956,1212704,6.2,2.2,0:06.63,slam_gmapping,0.0
2020-04-14 18:49:45.719635,544956,1212704,6.7,2.2,0:06.64,slam_gmapping,0.0
2020-04-14 18:49:45.898220,544956,1212704,6.7,2.2,0:06.65,slam_gmapping,0.0
2020-04-14 18:49:46.072591,544956,1212704,6.7,2.2,0:06.66,slam_gmapping,0.0
2020-04-14 18:49:46.245615,544956,1212704,6.2,2.2,0:06.67,slam_gmapping,0.0
2020-04-14 18:49:46.417003,544956,1212704,0.0,2.2,0:06.67,slam_gmapping,0.0
2020-04-14 18:49:46.573921,544956,1212704,13.3,2.2,0:06.69,slam_gmapping,0.0
2020-04-14 18:49:46.731348,544956,1212704,0.0,2.2,0:06.69,slam_gmapping,0.0
2020-04-14 18:49:46.887036,544956,1212704,0.0,2.2,0:06.69,slam_gmapping,0.0
2020-04-14 18:49:47.045501,544956,1212704,0.0,2.2,0:06.69,slam_gmapping,0.0
2020-04-14 18:49:47.201613,544956,1212704,6.7,2.2,0:06.70,slam_gmapping,0.0
2020-04-14 18:49:47.357120,544956,1212704,6.7,2.2,0:06.71,slam_gmapping,0.0
2020-04-14 18:49:47.512871,544956,1212704,0.0,2.2,0:06.71,slam_gmapping,0.0
2020-04-14 18:49:47.669349,544956,1212704,0.0,2.2,0:06.71,slam_gmapping,0.0
2020-04-14 18:49:47.830779,544956,1212704,0.0,2.2,0:06.71,slam_gmapping,0.0
2020-04-14 18:49:47.989589,544956,1212704,6.7,2.2,0:06.72,slam_gmapping,0.0
2020-04-14 18:49:48.147917,544956,1212704,53.3,2.2,0:06.80,slam_gmapping,0.0
2020-04-14 18:49:48.304571,544956,1212704,100.0,2.2,0:06.95,slam_gmapping,0.0
2020-04-14 18:49:48.461096,544956,1212704,100.0,2.2,0:07.11,slam_gmapping,0.0
2020-04-14 18:49:48.618646,544956,1212704,106.7,2.2,0:07.28,slam_gmapping,0.0
2020-04-14 18:49:48.776174,544956,1212704,106.7,2.2,0:07.44,slam_gmapping,0.0
2020-04-14 18:49:48.931870,544956,1212704,106.7,2.2,0:07.60,slam_gmapping,0.0
2020-04-14 18:49:49.088061,544956,1212704,100.0,2.2,0:07.75,slam_gmapping,0.0
