DateTime,Ram(MB),VirtualResource(MB),CPU(%),Memory(%),Runtime,ProcessName,VehicleSpeed
2020-04-14 21:40:20.823710,194776,2676708,0.0,0.8,0:04.86,rtabmap,0.0
2020-04-14 21:40:20.983071,196356,2676708,6.2,0.8,0:04.87,rtabmap,0.0
2020-04-14 21:40:21.143429,196356,2676708,13.3,0.8,0:04.89,rtabmap,0.0
2020-04-14 21:40:21.302316,211404,2676708,53.3,0.9,0:04.97,rtabmap,0.0
2020-04-14 21:40:21.462369,212320,2676708,73.3,0.9,0:05.09,rtabmap,0.0
2020-04-14 21:40:21.623552,212320,2676708,0.0,0.9,0:05.10,rtabmap,0.0
2020-04-14 21:40:21.785610,212320,2676708,6.7,0.9,0:05.12,rtabmap,0.0
2020-04-14 21:40:21.944716,212320,2676708,6.7,0.9,0:05.13,rtabmap,0.0
2020-04-14 21:40:22.110633,212320,2676708,6.7,0.9,0:05.14,rtabmap,0.0
2020-04-14 21:40:22.270432,212320,2676708,6.7,0.9,0:05.15,rtabmap,0.0
2020-04-14 21:40:22.432531,212320,2676708,6.7,0.9,0:05.16,rtabmap,0.0
2020-04-14 21:40:22.593713,212320,2676708,6.7,0.9,0:05.17,rtabmap,0.0
2020-04-14 21:40:22.755251,203484,2676708,20.0,0.8,0:05.20,rtabmap,0.0
2020-04-14 21:40:22.917521,211936,2676708,100.0,0.9,0:05.35,rtabmap,0.0
2020-04-14 21:40:23.074657,212876,2676708,26.7,0.9,0:05.40,rtabmap,0.0
2020-04-14 21:40:23.237686,212876,2676708,6.7,0.9,0:05.41,rtabmap,0.0
2020-04-14 21:40:23.418370,212876,2676708,0.0,0.9,0:05.41,rtabmap,0.0
2020-04-14 21:40:23.595084,212876,2676708,12.5,0.9,0:05.43,rtabmap,0.0
2020-04-14 21:40:23.766286,212876,2676708,6.2,0.9,0:05.44,rtabmap,0.0
2020-04-14 21:40:23.945125,212876,2676708,6.7,0.9,0:05.45,rtabmap,0.0
2020-04-14 21:40:24.122655,212876,2676708,0.0,0.9,0:05.45,rtabmap,0.0
2020-04-14 21:40:24.296822,212876,2676708,13.3,0.9,0:05.47,rtabmap,0.0
2020-04-14 21:40:24.454558,212876,2676708,6.7,0.9,0:05.48,rtabmap,0.0
2020-04-14 21:40:24.613462,212876,2676708,0.0,0.9,0:05.48,rtabmap,0.0
2020-04-14 21:40:24.772871,212876,2676708,6.2,0.9,0:05.49,rtabmap,0.0
2020-04-14 21:40:24.931093,212876,2676708,6.7,0.9,0:05.50,rtabmap,0.0
2020-04-14 21:40:25.091957,216572,2676708,60.0,0.9,0:05.59,rtabmap,0.0
2020-04-14 21:40:25.252422,217516,2676708,73.3,0.9,0:05.70,rtabmap,0.0
2020-04-14 21:40:25.412099,217516,2676708,6.7,0.9,0:05.71,rtabmap,0.0
2020-04-14 21:40:25.569904,217516,2676708,0.0,0.9,0:05.71,rtabmap,0.0
2020-04-14 21:40:25.728457,217516,2676708,6.7,0.9,0:05.73,rtabmap,0.0
2020-04-14 21:40:25.890536,217516,2676708,6.7,0.9,0:05.74,rtabmap,0.0
2020-04-14 21:40:26.049081,217516,2676708,6.7,0.9,0:05.75,rtabmap,0.0
2020-04-14 21:40:26.206639,217516,2676708,0.0,0.9,0:05.75,rtabmap,0.0
2020-04-14 21:40:26.367602,204352,2676708,20.0,0.8,0:05.78,rtabmap,0.0
2020-04-14 21:40:26.526762,210532,2676708,106.7,0.9,0:05.94,rtabmap,0.0
2020-04-14 21:40:26.684660,211368,2676708,93.3,0.9,0:06.08,rtabmap,0.0
2020-04-14 21:40:26.843904,212164,2676708,20.0,0.9,0:06.12,rtabmap,0.0
2020-04-14 21:40:27.001734,212164,2676708,0.0,0.9,0:06.12,rtabmap,0.0
2020-04-14 21:40:27.168695,212164,2676708,13.3,0.9,0:06.14,rtabmap,0.0
2020-04-14 21:40:27.348736,212164,2676708,0.0,0.9,0:06.14,rtabmap,0.0
2020-04-14 21:40:27.526647,212164,2676708,6.2,0.9,0:06.15,rtabmap,0.0
2020-04-14 21:40:27.702568,212164,2676708,6.7,0.9,0:06.17,rtabmap,0.0
2020-04-14 21:40:27.884022,212164,2676708,0.0,0.9,0:06.17,rtabmap,0.0
2020-04-14 21:40:28.060468,212164,2676708,6.7,0.9,0:06.18,rtabmap,0.0
2020-04-14 21:40:28.238368,212164,2676708,6.7,0.9,0:06.19,rtabmap,0.0
2020-04-14 21:40:28.418502,212164,2676708,0.0,0.9,0:06.19,rtabmap,0.0
2020-04-14 21:40:28.595125,212164,2676708,6.2,0.9,0:06.21,rtabmap,0.0
2020-04-14 21:40:28.772925,212164,2676708,0.0,0.9,0:06.21,rtabmap,0.0
2020-04-14 21:40:28.951371,212164,2676708,6.7,0.9,0:06.23,rtabmap,0.0
2020-04-14 21:40:29.127069,212164,2676708,6.2,0.9,0:06.24,rtabmap,0.0
2020-04-14 21:40:29.302429,212164,2676708,0.0,0.9,0:06.24,rtabmap,0.0
2020-04-14 21:40:29.458352,211120,2676708,80.0,0.9,0:06.36,rtabmap,0.0
2020-04-14 21:40:29.614097,211176,2676708,93.3,0.9,0:06.51,rtabmap,0.0
2020-04-14 21:40:29.778739,212000,2676708,26.7,0.9,0:06.56,rtabmap,0.0
2020-04-14 21:40:29.939169,212000,2676708,6.7,0.9,0:06.57,rtabmap,0.0
2020-04-14 21:40:30.100219,212000,2676708,0.0,0.9,0:06.57,rtabmap,0.0
2020-04-14 21:40:30.258380,212000,2676708,6.7,0.9,0:06.58,rtabmap,0.0
2020-04-14 21:40:30.417314,212000,2676708,13.3,0.9,0:06.60,rtabmap,0.0
2020-04-14 21:40:30.579174,213848,2676708,0.0,0.9,0:06.60,rtabmap,0.0
2020-04-14 21:40:30.737793,215696,2676708,0.0,0.9,0:06.61,rtabmap,0.0
2020-04-14 21:40:30.898151,215696,2676708,6.7,0.9,0:06.62,rtabmap,0.0
2020-04-14 21:40:31.068456,218412,2676708,106.2,0.9,0:06.79,rtabmap,0.0
2020-04-14 21:40:31.226728,219628,2676708,20.0,0.9,0:06.82,rtabmap,0.0
2020-04-14 21:40:31.387590,219628,2676708,6.7,0.9,0:06.83,rtabmap,0.0
2020-04-14 21:40:31.548344,219628,2676708,6.7,0.9,0:06.84,rtabmap,0.0
2020-04-14 21:40:31.707079,219628,2676708,0.0,0.9,0:06.84,rtabmap,0.0
2020-04-14 21:40:31.866719,219628,2676708,13.3,0.9,0:06.86,rtabmap,0.0
2020-04-14 21:40:32.028674,219628,2676708,6.7,0.9,0:06.87,rtabmap,0.0
2020-04-14 21:40:32.188530,219628,2676708,6.7,0.9,0:06.88,rtabmap,0.0
2020-04-14 21:40:32.363040,219628,2676708,6.7,0.9,0:06.89,rtabmap,0.0
2020-04-14 21:40:32.544700,219628,2676708,6.7,0.9,0:06.90,rtabmap,0.0
2020-04-14 21:40:32.730591,221476,2676708,0.0,0.9,0:06.91,rtabmap,0.0
2020-04-14 21:40:32.903080,221476,2676708,6.7,0.9,0:06.92,rtabmap,0.0
2020-04-14 21:40:33.083725,221476,2676708,6.7,0.9,0:06.93,rtabmap,0.0
2020-04-14 21:40:33.285560,221476,2676708,93.3,0.9,0:07.11,rtabmap,0.0
2020-04-14 21:40:33.444647,221476,2676708,100.0,0.9,0:07.26,rtabmap,0.0
2020-04-14 21:40:33.604250,222588,2676708,26.7,0.9,0:07.31,rtabmap,0.0
2020-04-14 21:40:33.765620,222588,2676708,6.2,0.9,0:07.32,rtabmap,0.0
2020-04-14 21:40:33.925751,222588,2676708,0.0,0.9,0:07.32,rtabmap,0.0
2020-04-14 21:40:34.085462,222588,2676708,0.0,0.9,0:07.33,rtabmap,0.0
2020-04-14 21:40:34.242643,222588,2676708,6.7,0.9,0:07.34,rtabmap,0.0
2020-04-14 21:40:34.407245,222588,2676708,0.0,0.9,0:07.34,rtabmap,0.0
2020-04-14 21:40:34.569510,222588,2676708,13.3,0.9,0:07.36,rtabmap,0.0
2020-04-14 21:40:34.727921,222588,2676708,6.7,0.9,0:07.37,rtabmap,0.0
2020-04-14 21:40:34.883604,232092,2676708,46.7,0.9,0:07.44,rtabmap,0.0
2020-04-14 21:40:35.042167,232628,2676708,93.3,0.9,0:07.60,rtabmap,0.0
2020-04-14 21:40:35.200036,233312,2676708,60.0,1.0,0:07.70,rtabmap,0.0
2020-04-14 21:40:35.363426,233312,2676708,6.7,1.0,0:07.71,rtabmap,0.0
2020-04-14 21:40:35.524083,233312,2676708,0.0,1.0,0:07.71,rtabmap,0.0
2020-04-14 21:40:35.683109,233312,2676708,12.5,1.0,0:07.73,rtabmap,0.0
2020-04-14 21:40:35.845036,233312,2676708,6.7,1.0,0:07.74,rtabmap,0.0
2020-04-14 21:40:36.005148,233312,2676708,0.0,1.0,0:07.74,rtabmap,0.0
2020-04-14 21:40:36.167549,224476,2676708,26.7,0.9,0:07.78,rtabmap,0.0
2020-04-14 21:40:36.357222,226336,2676708,106.2,0.9,0:07.97,rtabmap,0.0
